"Guid","AccountId","Application__c","Comments","ContactId","Description","IsEscalated","ParentId","Priority","Reason","Status","Subject","SuppliedCompany","SuppliedName","SuppliedPhone","Type","TypeDetail__c"
00150f69-ee0f-4bed-9f58-2fb4b634b562,23c92d3f-3ad3-4244-ab63-99bb984660f0,"#N/A","#N/A",ef501363-af8f-4a26-b83e-7fa546db1306,User Needs Help,false,"#N/A",Medium,Complex functionality,Closed,Template output to PDF includes highlighting when shouldn't /   setup,"#N/A","#N/A","#N/A",Problem,"#N/A"
002530bc-823d-4f53-943c-afe963b21e57,8b180efd-4fd1-4529-8ceb-fc24c0e67fea,"#N/A","#N/A",b25d5ed7-d900-4c07-b8ff-d22559eed410,When I upgraded to the newest version some of my integrations broke,false,"#N/A",High,New problem,Approved,Newest update cause an error,"#N/A","#N/A","#N/A",Problem,"#N/A"
004b4bc8-b821-4c4f-b3d4-32ad6d778c29,b82a83b4-7538-48f7-9149-60d16561eb75,"#N/A","#N/A",8f15e169-78d9-421a-8246-988def1b99f9,When I upgraded to the newest version some of my integrations broke,false,"#N/A",High,New problem,On Hold,Newest update cause an error,"#N/A","#N/A","#N/A",Problem,"#N/A"
005b924a-f2dd-4b4d-8f71-91303be3f834,5803d783-f488-48d3-80ec-212b7f872b2f,"#N/A","#N/A",0396d17e-df01-47d1-a570-3b4e69e81b0a,Is it possible to make our widgets waterproof?,false,"#N/A",Low,New problem,New,Widgets aren't waterproof,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
007a8411-9262-4708-8230-97b04dd210bf,d27a213f-8782-47e9-a6f3-ba56562244a0,"#N/A","#N/A",0ee5608d-1b1d-4d06-bfba-f10583a83b9e,I'm having trouble using the xyz widget....,false,"#N/A",High,Instructions not clear,Pending Approval,Trouble using the xyz widget,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
008028fe-f130-49a2-9e23-deab4cbaa843,0771f764-c2e7-40f4-831b-a5fa82d19d93,"#N/A","#N/A",8dbf9597-3db5-4a04-8969-fa45eeab0fd6,Unsure how much I owe this month.,false,"#N/A",Medium,Instructions not clear,Approved,Current Balance,"#N/A","#N/A","#N/A",Question,"#N/A"
008f52d2-dafa-40dc-ad38-f6c1ac41c9bb,21e4cac4-1540-46d3-b13f-1dcb92e2ddc9,"#N/A","#N/A",8775fc85-5f0e-491b-9d97-9551d67f3e2f,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,Pending Approval,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
009cd846-fba7-4e04-b74d-a3f35ab64c89,f60f79cb-219d-4003-bad4-2b15c89a0e73,"#N/A","#N/A",cd91fa74-fbd3-4f5b-ba41-d0d5eb2db50d,When I upgraded to the newest version some of my integrations broke,false,"#N/A",High,New problem,Approved,Newest update cause an error,"#N/A","#N/A","#N/A",Problem,"#N/A"
009d123b-3bb5-4c57-ba00-8b6b80209742,bc2a0cde-8fbb-4c6a-9e70-30a8cbc69930,"#N/A","#N/A",66de2bd4-492c-4fcc-874b-90402c9a58b8,I was wondering if It is possible to o delete my profiles and start from scratch?,false,"#N/A",Medium,User didn't attend training,Rejected,Can I delete all my profiles?,"#N/A","#N/A","#N/A",Question,"#N/A"
00d2874a-8eb4-48fd-86fc-eb0141c8b07b,864ab183-2657-4d8b-baa4-35a317740d3e,"#N/A","#N/A",680e0d9c-977b-4b84-9db6-372fcfa22367,When I upgraded to the newest version some of my integrations broke,false,"#N/A",High,New problem,Escalated,Newest update cause an error,"#N/A","#N/A","#N/A",Problem,"#N/A"
00d6d2b3-c002-4a48-875a-b4fa46227e5d,b1513321-5fb8-41d4-a18b-cb9966829be5,"#N/A","#N/A",ab31aa50-7ac8-45a9-8e6c-7ec4c44db8f4,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,Pending Approval,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
01046b98-b2bc-4775-b145-dbefe9fc648d,19236c02-904c-44cd-9ae3-f3c8eee0ef28,"#N/A","#N/A",e38ce408-7eed-48a5-a132-acd98ce489ae,I was wondering if It is possible to o delete my profiles and start from scratch?,false,"#N/A",Medium,User didn't attend training,On Hold,Can I delete all my profiles?,"#N/A","#N/A","#N/A",Question,"#N/A"
01483324-2bb1-4ead-93b4-3886e709d1e3,db21b59b-cee2-4108-9362-1c2ce229e483,"#N/A","#N/A",c1db132e-9477-4460-84eb-808158e0c415,User Needs Help,false,"#N/A",Medium,Existing problem,New,SL has expired ==> URGENT,"#N/A","#N/A","#N/A",Problem,"#N/A"
01960d44-3bd6-4888-ba79-e5d835b1ac49,8f5e51d9-2372-4af9-a1f1-ee13183327ab,"#N/A","#N/A",4cad8cda-bb52-4c80-a9b0-a565b9f55cb1,I'm having trouble using the xyz widget....,false,"#N/A",High,Instructions not clear,Rejected,Trouble using the xyz widget,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
01db50b9-93d7-44d1-852e-bade27db95af,f7aba1ff-2872-4364-bd5c-9c5b6d82218b,"#N/A","#N/A",8352180f-a146-40d0-ac20-24d6ba93998d,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,Rejected,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
01e3a5cd-8f54-4f9b-a20f-9e018d3bc342,f2946c47-4a64-4bea-a18a-ccd04b132e69,"#N/A","#N/A",5aec8174-e6c8-4b19-85aa-5692de2f1b9e,EMEA Case,false,"#N/A",Medium,Existing problem,On Hold,Additional license on renewal.,"#N/A","#N/A","#N/A",Problem,"#N/A"
023365fe-f2d8-437d-a27e-0963a5319822,ea6ca755-50bf-42b8-99d8-0eac76a7a813,"#N/A","#N/A",400f5d33-5014-4f0d-b837-9249396f4601,I was wondering if It is possible to o delete my profiles and start from scratch?,false,"#N/A",Medium,User didn't attend training,New,Can I delete all my profiles?,"#N/A","#N/A","#N/A",Question,"#N/A"
023a1364-c9ad-4edd-891d-2980fba2394f,dd2ae7b9-8a5e-4fb0-a3e6-f22ae3c10e73,"#N/A","#N/A",dd069b3b-35f8-45c7-8132-8a0036292ca4,I was wondering if It is possible to o delete my profiles and start from scratch?,false,"#N/A",Medium,User didn't attend training,New,Can I delete all my profiles?,"#N/A","#N/A","#N/A",Question,"#N/A"
