"Guid","AccountId","Amount","CloseDate","ContactId","Description","ForecastCategoryName","LeadSource","Name","NextStep","Probability","SBQQ__Contracted__c","SBQQ__CreateContractedPrices__c","SBQQ__OrderGroupID__c","SBQQ__Ordered__c","SBQQ__PrimaryQuote__c","SBQQ__QuotePricebookId__c","SBQQ__Renewal__c","StageName","Type","sbaa__ApprovalStatus__c","sbaa__ApprovalStep__c","sbaa__StepApproved__c","sbaa__SubmittedDate__c"
005367cb-5ad5-4ffb-a1aa-d13d6e9a10ea,c60984b8-b309-4bdc-b374-058eea2d0c63,32395.00000002,2022-07-25,"#N/A","#N/A",Closed,"#N/A",Trunyx - Secondary Sale,"#N/A",100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
0057e352-f795-496d-b4ba-6f6f5582d2d3,6735ef0b-e452-49e9-a6ac-cb29c5dae786,72395.0,2022-01-11,"#N/A","#N/A",Omitted,"#N/A",Jetpulse - Initial Sale,"#N/A",0.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Lost,"#N/A","#N/A","#N/A",false,"#N/A"
005d5775-540c-41b3-9116-41db22f5ecdb,0771f764-c2e7-40f4-831b-a5fa82d19d93,34350.0,2022-08-10,"#N/A","#N/A",Pipeline,"#N/A",Kamba - Cross-sell,"#N/A",75.0,false,false,"#N/A",false,"#N/A","#N/A",false,Proposal/Price Quote,"#N/A","#N/A","#N/A",false,"#N/A"
00aff9de-dcb0-4e60-9b0e-a18c63da96da,b1f85b4f-3813-46ab-8d5e-1609a956980d,72395.0,2021-01-27,"#N/A","#N/A",Closed,"#N/A",Edgepulse - Additional Sale,"#N/A",100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
00b79a2e-bda6-407c-b35a-6fbde3b1785a,7fde462e-58a0-4fa4-afee-58620f629387,100082.0,2022-09-30,"#N/A","#N/A",Pipeline,"#N/A",Topicblabh-Sto Associates - Upsell,"#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Qualification,"#N/A","#N/A","#N/A",false,"#N/A"
00d87517-0db9-41a3-9aa4-a2049cd06713,ac50e6c1-e100-4a59-9645-33082b1b1459,43495.0,2022-07-27,"#N/A","#N/A",Pipeline,"#N/A",Yamia - SOW 3,"#N/A",50.0,false,false,"#N/A",false,"#N/A","#N/A",false,Value Proposition,"#N/A","#N/A","#N/A",false,"#N/A"
01801a61-549c-4577-af54-ad7f2e6f82f2,8b180efd-4fd1-4529-8ceb-fc24c0e67fea,34350.0,2022-08-10,"#N/A","#N/A",Pipeline,"#N/A",Avaveo - Cross-sell,"#N/A",75.0,false,false,"#N/A",false,"#N/A","#N/A",false,Proposal/Price Quote,"#N/A","#N/A","#N/A",false,"#N/A"
01a394bf-e1ae-4d82-8e98-394b8c9b42b8,5803d783-f488-48d3-80ec-212b7f872b2f,32395.00000002,2022-07-25,"#N/A","#N/A",Closed,"#N/A",Buzzshare - Secondary Sale,"#N/A",100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
01ad17d5-63d3-497a-a578-e640a5a4a517,97d458ba-5036-4039-a4b4-a2fc36826c61,100082.0,2022-09-30,"#N/A","#N/A",Pipeline,"#N/A",Digitube - Upsell,"#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Qualification,"#N/A","#N/A","#N/A",false,"#N/A"
01d0657a-2b37-4ba9-9790-e096a5638a3e,ff898e5f-6e75-4f7d-88e5-eea780485383,34995.0,2022-04-03,"#N/A","#N/A",Pipeline,"#N/A",Dynava - Additional Sale,"#N/A",70.0,false,false,"#N/A",false,"#N/A","#N/A",false,Perception Analysis,"#N/A","#N/A","#N/A",false,"#N/A"
