"Guid","Description","OpportunityId","Quantity","SBQQ__ParentID__c","SBQQ__QuoteLine__c","SBQQ__SubscriptionType__c","ServiceDate","SortOrder","TotalPrice","UnitPrice","sbaa__ApprovalStatus__c"
00109649-9c25-4468-98a2-954395628401,"#N/A",a8772364-7235-4a3c-a7b0-d6ad1cd93dc5,17.0,"#N/A","#N/A","#N/A","#N/A","#N/A",850.0,50.0,"#N/A"
0015cd61-7d6e-43a5-bc3d-8226dae3835c,"#N/A",3d6d4637-6cd9-483c-b81e-9dede4ec0332,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",2500.0,500.0,"#N/A"
0025bd44-76f0-4031-aaf5-cb69cb00055d,"#N/A",3d6d4637-6cd9-483c-b81e-9dede4ec0332,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
003b24b5-df3f-4ab4-bd36-76afc0f2e0d0,"#N/A",c17586c1-4faa-43b3-8ad9-091177ad8fcc,2.0,"#N/A","#N/A","#N/A","#N/A","#N/A",800.0,400.0,"#N/A"
006f4b92-f00f-4866-809e-d5b6e970ed43,"#N/A",07145a47-938f-4d58-b041-93f78d0e04cd,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3995.0,799.0,"#N/A"
007551f8-532b-4065-b1bf-eeed57e6f12a,"#N/A",c4f74c42-3d22-4a9d-926b-92f8a3cf7f0a,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
0075bf97-87cf-4eea-8d9d-e6362e4f35df,"#N/A",3d4ca7c0-2fb4-44c8-873a-81e4f1c03129,12.0,"#N/A","#N/A","#N/A","#N/A","#N/A",600.0,50.0,"#N/A"
007d1206-1b26-48b5-9097-ef8bc613cd9c,"#N/A",c72d1397-2880-4d86-8e53-d61137ec50e5,2.0,"#N/A","#N/A","#N/A","#N/A","#N/A",800.0,400.0,"#N/A"
0080672d-cc98-4290-ab78-ba5b903141a1,"#N/A",b4b1931b-b856-4a00-b3a2-56acab91537f,8.0,"#N/A","#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
0093528b-7903-47fe-a0c1-31b2ddf3fe14,"#N/A",729fda66-649e-4c5a-b448-d3279611e64b,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
00a64c2f-9807-4f2e-8efb-ceaa7a932983,"#N/A",ed189ae6-c129-447f-8c5c-d70b4bc07d7e,8.0,"#N/A","#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
00a735a3-e4dd-45b1-ab1c-7e5ddc896209,"#N/A",1556dffb-af5e-4056-879f-fed498adb160,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3995.0,799.0,"#N/A"
00a9fe5d-675e-4bb8-8d9c-b0166ef689e8,"#N/A",c389e97b-c39e-4834-ad3d-83582d0da7dd,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3995.0,799.0,"#N/A"
00b16b8b-9bc4-4a49-b00b-f1ceb7a37ab3,"#N/A",692b556c-8196-43cf-aa76-383104f31796,8.0,"#N/A","#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
00b86b0c-0518-4dce-8bbc-9f8bd2f14869,"#N/A",0dbda763-0675-43f9-b24f-2d5b4f3c47cc,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",75000.0,75000.0,"#N/A"
00bf55d6-c100-4b15-8d8c-00b264c32a7e,"#N/A",868f3b7f-632b-47ac-a625-5ed7875b82c8,4.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3600.0,900.0,"#N/A"
00d0068c-cc6f-4c24-b431-0ffbc78155cf,"#N/A",73dade63-f04f-430e-a969-005a926795f6,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",5000.0,5000.0,"#N/A"
00ddf39e-8cee-4dfe-b742-93d3966ad4d4,"#N/A",32d26d0e-359a-44bf-b638-7cb72b0d5ddc,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",300.0,300.0,"#N/A"
00e4403a-10cb-433a-ae78-5b26f74ab3f8,"#N/A",23a6d230-8d2f-48ff-b375-9280780ee12a,6.0,"#N/A","#N/A","#N/A","#N/A","#N/A",1600.00000002,266.66666667,"#N/A"
00e6ac3a-26cc-44d8-93b1-eba8534d1bd6,"#N/A",f024069e-0537-477c-b5be-cbdba419ad27,4.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3600.0,900.0,"#N/A"
0103ea6a-530f-452b-8fa1-c62c13484d81,"#N/A",0e5326a1-1eaf-47c1-a758-6d071537d6ff,2.0,"#N/A","#N/A","#N/A","#N/A","#N/A",1600.0,800.0,"#N/A"
010c0b2d-6ef7-402d-a69d-fef3c5e8a6b3,"#N/A",c755ed62-99d0-4b16-a153-e6b68d254af0,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",75000.0,75000.0,"#N/A"
013ce741-916e-44b2-ad99-876888894389,"#N/A",4b8f11d8-4d3f-4737-9952-ed728c90230c,15.0,"#N/A","#N/A","#N/A","#N/A","#N/A",4500.0,300.0,"#N/A"
0140f935-3baa-4546-89e0-9fd291008937,"#N/A",758e4829-7fb6-426c-8b3d-55cad17fc527,15.0,"#N/A","#N/A","#N/A","#N/A","#N/A",4500.0,300.0,"#N/A"
0146c5ed-820e-4d25-b474-31824adffa61,"#N/A",fda303d3-aa30-4e06-b27d-7221def183b4,2.0,"#N/A","#N/A","#N/A","#N/A","#N/A",1600.0,800.0,"#N/A"
01819250-e389-4873-ab23-fc9bd6056dbb,"#N/A",a8324042-0170-4808-b489-035b5874f6e0,4.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3600.0,900.0,"#N/A"
01861325-74c9-4daa-9113-020305f09aba,"#N/A",c83625ca-b259-402c-8a16-7f17fe8f1566,8.0,"#N/A","#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
01907920-c734-42b2-9c14-dbfbdcaf4e6c,"#N/A",a15f2b12-3bec-4987-acba-23b82491886e,2.0,"#N/A","#N/A","#N/A","#N/A","#N/A",800.0,400.0,"#N/A"
01b44354-50b3-4b19-9df1-3e143a223eac,"#N/A",b954d9d3-a290-49a2-852a-830b4a04d469,4.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3600.0,900.0,"#N/A"
01fa1dcc-e93b-40fc-a0f6-b982a02483d3,"#N/A",25cd5ee3-5077-49e1-9901-0850a92121ea,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3995.0,799.0,"#N/A"
01fa2723-58d1-4533-9730-83a5b957b2eb,"#N/A",87a7e34a-f9c0-4a6a-8683-cbfe6c7212c4,15.0,"#N/A","#N/A","#N/A","#N/A","#N/A",4500.0,300.0,"#N/A"
01fae1bc-ef50-41d2-879d-cc19625ea5f1,"#N/A",aebb63aa-a3ba-42d1-b82a-b851e3c6eef2,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",25000.0,25000.0,"#N/A"
