"Guid","SBQQ__IsRead__c","SBQQ__JobDetails__c","SBQQ__JobId__c","SBQQ__JobStatus__c","SBQQ__RecordId__c","SBQQ__RedirectUrl__c","SBQQ__Stacktrace__c"
0dd518ae-0267-4b0a-9c35-0bbc3fba3c7c,false,"#N/A","#N/A",Completed,a344x0000000vWMAAY::QuoteCalculator,"#N/A","#N/A"
0e9f72a6-36c1-4fe8-a709-81f283869b7c,false,"#N/A",7078c000066Cilc,"#N/A",a348c000000WS92AAG::QuoteCalculator,"#N/A","#N/A"
25eca7e1-b286-4c1e-bc31-58573db9f3c0,false,"#N/A",7078c000063zPeE,"#N/A",a344x0000000vWWAAY::QuoteCalculator,"#N/A","#N/A"
669b7871-ba80-448e-9177-c74d9e17497a,true,"#N/A",7078c000063zPeF,"#N/A",a344x0000000vW7AAI::QuoteDocumentService,"#N/A","#N/A"
7d794701-f188-44fa-a8b3-7fe1c6815167,false,"#N/A",7078c000066Cilc,"#N/A",a348c000000WS94AAG::QuoteCalculator,"#N/A","#N/A"
82d032c1-1c44-4f51-9484-dfcc5ce04284,false,"#N/A","#N/A",Completed,a344x0000000vW7AAI::QuoteCalculator,"#N/A","#N/A"
83ad11eb-8d5a-4f4d-8a3d-979650342320,false,"#N/A",7078c000066Cilc,"#N/A",a348c000000WS97AAG::QuoteCalculator,"#N/A","#N/A"
a035cf4d-ddd6-4577-9254-9d83ea8bb1b7,false,"#N/A",7078c000064AINb,"#N/A",a344x0000000vMeAAI::QuoteCalculator,"#N/A","#N/A"
af040c8f-c0ec-4fc0-805d-60a097dbedfb,false,"#N/A",7078c000066Cilc,"#N/A",a348c000000WS95AAG::QuoteCalculator,"#N/A","#N/A"
b94e5a96-dcfe-468d-b9e4-37af3efccf25,false,"#N/A",7078c000064AINd,Completed,a344x0000000vWHAAY::QuoteCalculator,"#N/A","#N/A"
b9d34ae1-616a-4e45-9c02-cc1031f7d81b,false,"#N/A","#N/A",Completed,a344x0000000vWRAAY::QuoteCalculator,"#N/A","#N/A"
bde7efde-cc2c-4fb5-936d-78defd6c3156,false,"#N/A",7078c000066Cilc,"#N/A",a348c000000WS98AAG::QuoteCalculator,"#N/A","#N/A"
c21b6d2e-a32d-4b83-944e-b783224665ee,false,"#N/A",7078c000064AINc,Completed,a344x0000000vWCAAY::QuoteCalculator,"#N/A","#N/A"
e4cde265-7bff-47e2-ada6-7734d090d155,false,"#N/A",7078c000066Cilc,"#N/A",a348c000000WS96AAG::QuoteCalculator,"#N/A","#N/A"
e978e580-e453-4e5c-8752-2fbbfdea54ff,false,"#N/A",7078c000066Cilc,"#N/A",a348c000000WS93AAG::QuoteCalculator,"#N/A","#N/A"
